;ymin;ymax;contraste;xmin (px);xmax (px);nº periodos;periodo, p (px);frecuencia, u (ciclos/mm)
smallest;84;286;0,54595;19;200;10;18,10000;100,8287293
;58;139;0,41117;23;183;11;14,54545;125,46875
;55;117;0,36047;4;142;12;11,50000;158,6956522
;61;108;0,27811;11;111;11;9,09091;200,75
;65;101;0,21687;7;73;9;7,33333;248,8636364
;65;88;0,15033;4;52;8;6,00000;304,1666667
second smallest;58;142;0,42000;7;223;12;18,00000;101,3888889
;65;177;0,46281;25;251;11;20,54545;88,82743363
;62;191;0,50988;44;330;10;28,60000;63,81118881
third smallest;40;156;0,59184;15;381;10;36,60000;49,86338798
;35;191;0,69027;53;463;9;45,55556;40,06097561
forth smallest;23;156;0,74302;30;674;11;58,54545;31,17236025
;25;191;0,76852;32;683;9;72,33333;25,23041475
fifth smallest;12;182;0,87629;66;635;5;113,80000;16,03690685
;18;199;0,83410;44;596;6;92,00000;19,83695652
sixth smallest;11;188;0,88945;98;640;3;180,66667;10,10147601
;12;198;0,88571;66;664;4;149,50000;12,20735786
